название остановки,id остановки
Речной порт,stop_1
ул. Калинина,stop_10
жилой массив Нагорный-2,stop_100
ул. Интернациональная-1,stop_1000
жилой массив Самосырово-1,stop_1001
Мамадышский тракт-1,stop_1002
"Магазин ""Эдельвейс""-3",stop_1003
Чеховский рынок-1,stop_1004
ул. Груздева,stop_1005
Дворец водных видов спорта-1,stop_1006
"ул. Адоратского, д.1а",stop_1007
"СК ""Олимп""",stop_1008
ул. Чистопольская-1,stop_1009
ул. Круговая,stop_101
Татнефть Арена-1,stop_1010
ул. Мусина-3,stop_1011
ул. Меридианная-1,stop_1012
ул. Абсалямова-1,stop_1013
ул. Бондаренко-1,stop_1014
МКДЦ,stop_1015
Автотранспортный техникум,stop_1016
ул. Карбышева-2,stop_1017
ул. Профессора Камая,stop_1018
ул. Карбышева-3,stop_1019
Школа №124,stop_102
Автотранспортный техникум-1,stop_1020
МКДЦ-1,stop_1021
"Станция метро ""Козья Слобода""",stop_1022
ул. Бондаренко,stop_1023
ул. Абсалямова,stop_1024
ул. Меридианная,stop_1025
ул. Мусина-2,stop_1026
Татнефть Арена,stop_1027
"СК ""Олимп""-1",stop_1028
ул. Техническая-2,stop_1029
Магазин (Нагорный),stop_103
ул. 2-я Тихорецкая,stop_1030
ул. Крутовская,stop_1031
Нефтебаза-2,stop_1032
ул. Тихорецкая-2,stop_1033
ул. Крутовская-1,stop_1034
ул. 2-я Тихорецкая-1,stop_1035
ул. Лодейная-1,stop_1036
ул. Лодейная,stop_1037
"Станция метро ""Яшьлек""-3",stop_1038
"СО ""Крутушка""",stop_1039
ул. Таежная,stop_104
поворот на жилой массив Крутушка,stop_1040
жилой массив Крутушка,stop_1041
поворот на жилой массив Крутушка-1,stop_1042
жилой массив Чебакса,stop_1043
"Кладбище ""Курган""",stop_1044
Киндерское кладбище-1,stop_1045
ул. Советская-2,stop_1046
"Магазин ""Комсомольский""-1",stop_1047
О.п. 807-й км-1,stop_1048
Березовка-1,stop_1049
ул. Машиностроителей-1,stop_105
жилой массив Кульсеитово,stop_1050
Березовка,stop_1051
О.п. 807-й км,stop_1052
Магазин (Новониколаевский),stop_1053
жилой массив Краснооктябрьский,stop_1054
Новониколаевский-1,stop_1055
Магазин (Новониколаевский)-1,stop_1056
По требованию (ул.Химическая),stop_1057
ул. Ломжинская-5,stop_1058
"Магазин ""Эдельвейс""-1",stop_1059
жилой массив Новая Сосновка,stop_106
ул. Родины-1,stop_1060
ул. Скрябина-1,stop_1061
жилой массив Дальний-1,stop_1062
Водоканал (ул. Родины)-1,stop_1063
Вознесенский квартал-1,stop_1064
"жилой комплекс ""Победа""-1",stop_1065
"жилой комплекс ""Победа""",stop_1066
Вознесенский квартал,stop_1067
ул. Бухарская-1,stop_1068
Вознесенский тракт,stop_1069
ул. Машиностроителей,stop_107
Вознесенский тракт-1,stop_1070
Водоканал (ул. Родины),stop_1071
жилой массив Дальний,stop_1072
ул. Скрябина,stop_1073
ул. Родины,stop_1074
ул. Ломжинская-4,stop_1075
"Станция метро ""Дубравная""-1",stop_1076
ул. Кул. Гали (ул.Кул. Гали),stop_1077
жилой массив Восточный-2,stop_1078
ул. Рассветная,stop_1079
жилой массив Нагорный 2,stop_108
ул. Рябиновая,stop_1080
ул. Овражная,stop_1081
ул. Центральная,stop_1082
жилой массив Салмачи,stop_1083
ул. 3-я Зеленая,stop_1084
Цветочная,stop_1085
ул. 5-я Зеленая,stop_1086
Новые Салмачи,stop_1087
Граница территории г.Казани №6,stop_1088
"жилой комплекс ""Яшьлек"" (Куюки)",stop_1089
ул. Таежная-1,stop_109
30-й квартал (Куюки),stop_1090
ул. Дачная-1,stop_1091
Озеро (Куюки)-1,stop_1092
Куюки,stop_1093
Озеро (Куюки),stop_1094
ул. Дачная,stop_1095
30-й квартал (Куюки)-1,stop_1096
"жилой комплекс ""Яшьлек"" (Куюки)-1",stop_1097
Граница территории г.Казани №6-1,stop_1098
Новые Салмачи-1,stop_1099
ул. Лейтенанта Шмидта,stop_11
Магазин (Нагорный)-1,stop_110
ул. 5-я Зеленая-1,stop_1100
Цветочная-1,stop_1101
ул. 3-я Зеленая-1,stop_1102
жилой массив Салмачи-1,stop_1103
ул. Центральная-1,stop_1104
ул. Овражная-1,stop_1105
ул. Рябиновая-1,stop_1106
ул. Рассветная-1,stop_1107
жилой массив Восточный-1,stop_1108
ул. Кул. Гали (ул. Кул. Гали)-1,stop_1109
Школа №124-1,stop_111
"Станция метро ""Дубравная""",stop_1110
Научный городок,stop_1111
ВНИВИ,stop_1112
ул. Молодежная (Высокая Гора),stop_1113
ул. Сосновая (Высокая Гора),stop_1114
ул. Центральная (Высокая Гора),stop_1115
ул. Полковая,stop_1116
АРЗ (Высокая Гора),stop_1117
ул. Полковая-1,stop_1118
ул. Центральная (Высокая Гора)-1,stop_1119
ул. Круговая-1,stop_112
ул. Сосновая (Высокая Гора)-1,stop_1120
ул. Молодежная (Высокая Гора)-1,stop_1121
ВНИВИ-1,stop_1122
Научный городок-1,stop_1123
жилой массив Сухая Река,stop_1124
"СО ""ТАСМА-5""",stop_1125
"СО ""КМПО-8""",stop_1126
"СО ""КМПО-14""",stop_1127
Граница территории г.Казани №7,stop_1128
Победа,stop_1129
Концертный зал филармонии-1,stop_113
"ДОЛ ""Пионер""-1",stop_1130
"ДОЛ ""Родничок""",stop_1131
"ДОЛ ""Березка""",stop_1132
Озерный,stop_1133
Сады (Шигали),stop_1134
"СО ""Химик""",stop_1135
"СО ""Дружба""",stop_1136
Сады Вертолетного завода,stop_1137
"СО ""КАПО-2""-1",stop_1138
Дальние сады-1,stop_1139
ул. Ипподромная-1,stop_114
"СО ""КАПО-2""",stop_1140
Сады Вертолетного завода-1,stop_1141
"СО ""Дружба""-1",stop_1142
"СО ""Химик""-1",stop_1143
Сады (Шигали)-1,stop_1144
Озерный-1,stop_1145
"ДОЛ ""Березка""-1",stop_1146
"ДОЛ ""Родничок""-1",stop_1147
"ДОЛ ""Пионер""",stop_1148
Победа-1,stop_1149
ул. Халева-1,stop_115
Граница территории г.Казани №7-1,stop_1150
"СО ""КМПО-14""-1",stop_1151
"СО ""КМПО-8""-1",stop_1152
"СО ""ТАСМА-5""-1",stop_1153
Поворот на Дальние Сады,stop_1154
Озерный-2,stop_1155
"Детский сад ""Айгуль""",stop_1156
Дом Культуры (Шигали),stop_1157
По требованию (Шигали),stop_1158
ул. Советская (Шигали),stop_1159
Казанская ярмарка-1,stop_116
Шигали-1,stop_1160
н.п.Берновые Ковали,stop_1161
Шигали,stop_1162
ул. Советская (Шигали)-1,stop_1163
По требованию (Шигали)-1,stop_1164
"Детский сад ""Айгуль""-1",stop_1165
Озерный-3,stop_1166
Поворот на Дальние Сады-1,stop_1167
ул. Генерала Сафиуллина-2,stop_1168
ул. Овражная-2,stop_1169
ул. Танковая-1,stop_117
ул. Камышлы,stop_1170
жилой массив Вишнёвка,stop_1171
ул. Усердная-2,stop_1172
По требованию (ул.Усердная),stop_1173
